SKU;CANTIDAD;COSTO;LOCALIDAD;DEPOSITO
000313;-12075000;0;;0014
000313;-70000;0;;0004
004334;-22119;0;;0014
010757;-21048;0;;0014
001635;-18119;0;;0014
004383;-16659;0;;0014
001636;-15647;0;;0014
002942;-13967;0;;0014
001385;-13848;0;;0014
001898;-12996;0;;0014
001643;-12911;0;;0014
019445;-12694;0;;0014
016561;-11757;0;;0014
008064;-11735;0;;0014
002732;-11544;0;;0014
018403;-10778;0;;0014
001289;-10620;0;;0014
014791;-9588;0;;0014
016895;-8821;0;;0014
002000;-8736;0;;0014
018243;-8698;0;;0014
001116;-8580;0;;0014
017875;-8480;0;;0014
001964;-8400;0;;0014
005748;-8300;0;;0014
002941;-7992;0;;0014
006391;-7632;0;;0014
014792;-7487;0;;0014
001290;-7164;0;;0014
007835;-7020;0;;0014
003721;-6916;0;;0014
003755;-6768;0;;0014
001297;-6440;0;;0014
010739;-6360;0;;0014
018242;-6192;0;;0014
017948;-5856;0;;0014
008447;-5774;0;;0014
014222;-5652;0;;0014
011511;-5643;0;;0014
009339;-5592;0;;0014
018363;-5240;0;;0014
010705;-5160;0;;0014
014793;-5124;0;;0014
001295;-5052;0;;0014
003141;-4980;0;;0014
017978;-4424;0;;0014
014779;-4356;0;;0014
017278;-4176;0;;0014
008330;-4140;0;;0014
018410;-3816;0;;0014
008650;-3780;0;;0014
014223;-3684;0;;0014
008627;-3660;0;;0014
012551;-3648;0;;0014
008621;-3527;0;;0014
000866;-3460;0;;0014
014778;-3419;0;;0014
017113;-3340;0;;0014
017950;-3264;0;;0014
010907;-3263;0;;0014
001171;-3216;0;;0014
002742;-3156;0;;0014
018867;-3144;0;;0014
001954;-3096;0;;0014
018075;-3080;0;;0014
001287;-3070;0;;0014
019009;-3036;0;;0014
000288;-2895.5;0;;1102
011633;-2880;0;;0014
012092;-2880;0;;000014
015434;-2856;0;;0014
000867;-2800;0;;0014
007665;-2784;0;;0014
001172;-2772;0;;0014
017949;-2736;0;;0014
008950;-2664;0;;0014
002942;-2640;0;;000014
001292;-2616;0;;0014
008946;-2592;0;;0014
011632;-2592;0;;0014
000024;-2527.3;0;;0014
009997;-2520;0;;0014
014780;-2472;0;;0014
002563;-2400;0;;0014
011634;-2400;0;;0014
001938;-2400;0;;0014
008036;-2376;0;;0014
017995;-2328;0;;0014
012552;-2304;0;;0014
016091;-2279;0;;0014
017328;-2232;0;;0014
000312;-2200;0;;0014
002228;-2184;0;;0014
017727;-2184;0;;0014
017946;-2160;0;;0014
008915;-2136;0;;0014
016431;-2112;0;;0014
011091;-2112;0;;0014
019466;-2111;0;;0014
018010;-2072;0;;0014
014837;-2040;0;;0014
000989;-2016;0;;0014
013144;-1968;0;;0014
001641;-1967;0;;0014
000074;-1920.2;0;;0014
